Gender,University,Age,Type_of_Residence,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Job,Father_Job,Primary_Guardian,Motivation_Level,University_Selection_Method,University_Choice_Reason,Program_Choice_Personal,Program_Satisfaction_Level,Living_Arrangement,Travel_Time_,Study_Hours_Per_Week,Failed_Classes,Num_Failed_Classes,Extra_Support_University,Changed_Major,Reason_Changed_Major,Considered_Dropout,Reason_Considered_Dropout,Adjustment_Issues,Adjustment_Difficulty,Stress_Frequency,Made_Friends,Hangout_Frequency,Social_Activity_Frequency,Extracurricular_Participation,Free_Time,Classmate_Cooperation,Mentor_Support,Internet_At_Home,In_Relationship,Relationship_Satisfaction,Family_Relationships,Overall_Health,Bullying_Frequency,PartTime_Job,Absences_Semester,Average_CGPA,CGPA_Satisfaction
M,DIU,23,U,GT3,A,1,0,Housewife ,Farmer ,Father,3,Own choice,Reputation,Yes,2,In university halls,10,2,Yes,1,Yes,No,,No,,No major issues,1,Rarely,Yes,5,Sometimes,Yes,2,5,2,Yes,No,,5,5,Never,No,2,3.28,3
M,DIU,24,R,GT3,A,3,4,Housewife,Teacher ,Father,3,Referred by someone,Waiver Policy,Yes,3,In university halls,30,2,No,0,Yes,No,,No,Financial problems,Homesickness,4,Sometimes,Yes,4,Sometimes,No,1,3,3,Yes,No,,5,4,Rarely,No,0,3.71,4
F,DIU,19,R,GT3,A,2,2,Housewife ,Farmer ,Father,1,Referred by someone,Reputation,Yes,1,In university halls,30,3,No,0,Yes,No,Personal or family reasons,No,Personal reasons,Homesickness,2,Sometimes,No,1,Never,No,2,2,2,Yes,No,,1,3,Never,No,2,0,3
M,DIU,24,U,GT3,A,1,3,Housewife ,Govt Job,Father,1,Own choice,Course,No,1,Private accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,DIU,23,U,GT3,A,4,4,Housewife ,Businessman,Father,4,Admission exam,Admission ,No,5,Private accommodation,20,1,No,,No,No,,No,,Difficulty understanding academic content,2,Rarely,Yes,3,Rarely,No,3,4,4,Yes,Yes,4,5,3,Never,Yes,,3.49,4
M,DIU,23,U,GT3,A,3,4,Housewife,Govt Job,Father,5,Own choice,Near Home,Yes,4,In university halls,10,3,No,,Yes,No,,No,,Difficulty understanding academic content,2,Sometimes,Yes,3,Often,Yes,5,4,3,Yes,No,,5,5,Never,No,0,4,5
F,DIU,23,U,GT3,,3,4,Housewife ,Govt Job,Siblings ,1,Referred by someone,Reputation,Yes,1,With family,,2,No,0,Yes,No,,Yes,Academic difficulties,Difficulty understanding academic content,5,Rarely,Yes,5,Rarely,No,1,4,1,Yes,No,1,4,1,Sometimes,No,3,3.5,1
M,DIU,23,U,GT3,A,3,4,Housewife ,Businessman ,Father,3,Own choice,Course,Yes,3,In university halls,10,1,No,0,Yes,No,,Yes,Personal reasons,Difficulty making friends,4,Often,No,2,Never,No,5,1,1,Yes,No,,5,5,Rarely,No,1,3.5,1
M,DIU,,R,GT3,A,4,4,Housewife,Businessman,Father,4,Referred by someone,Reputation,Yes,4,In university halls,10,3,No,,Yes,No,,No,,Difficulty making friends,3,Sometimes,No,3,Never,No,4,3,4,Yes,Yes,3,5,5,Never,No,0,3.63,3
F,DIU,21,R,LE3,T,3,3,Housewife ,Migrate worker,Father,3,Own choice,Near Home,Yes,2,With family,30,3,No,0,No,No,Better career opportunities in the new major,No,,Difficulty understanding academic content,5,Often,No,1,Rarely,Yes,2,1,2,Yes,Yes,5,4,3,Rarely,No,1,3.02,2
